time rate GYR_X_865 Q_X_865 Q_Y_871 GYR_Y_871 Q_Z_925 GYR_Z_925 UPP_X_865 UPP_Y_871 UPP_Z_925 
sec grad/sec V V V V V V V V V 
# 1120S ai0 ai1 ai2 ai3 ai4 ai5 ai6 ai7 ai8 
0.000000 -50.000 2.715819360018171924053831 2.557052243806013702709379 2.538373769788340172937069 2.744320167458184300812718 2.511161169188226072179759 2.706641134996545794422218 2.627740626049649641515771 2.622909983911225761943342 2.597951668501403688082974 
0.001000 -50.000 2.715497317025882040297802 2.550289347795698269294462 2.538534791107012633659679 2.745125275088503347120650 2.495381083312254499873006 2.707446242433149130590664 2.614697892608525364721572 2.629350840128040545096155 2.582493617015607423326173 
0.002000 -50.000 2.715819360018171924053831 2.555119987774610468278524 2.539339897702734383244660 2.746413447305666277742375 2.486363892054206825577012 2.705191941621036821885582 2.612765635892208671009485 2.625647347771853823417132 2.579917275244230978614723 
0.003000 -50.000 2.716785488999003739252203 2.563654118751954147370498 2.538534791107012633659679 2.747862641062709609940384 2.477346701282676644240155 2.703742748258866068766793 2.590866728054416423532302 2.621138748496805170873358 2.589095492990999503035709 
0.004000 -50.000 2.718717746978507765476252 2.562365948009887706149357 2.543687473387671094116058 2.749150813302515761193945 2.473160148589501172722294 2.703742748258866068766793 2.669606197350418153035889 2.621943855500944664527196 2.597951668501403688082974 
0.005000 -50.000 2.721294090988199076974752 2.579434211166636625733872 2.532738023733930976533202 2.749311834833241263709169 2.488135126012887443636146 2.702937640841199584684773 2.706158070536560877883403 2.612926657284350806520479 2.602299245747193179312262 
0.006000 -50.000 2.722099198499908556669880 2.579273189807756772040648 2.519856319189157201066109 2.748989791771957236221624 2.505042360201448214951370 2.702454576392574470133923 2.803093035458841697504795 2.626291433392888841069635 2.605036609258146729217742 
0.007000 -50.000 2.721777155494728539508742 2.574281527761403509657612 2.526780235257171103313567 2.748989791771957236221624 2.516313850615199410043488 2.701971511945429949008712 2.620172620097151572338134 2.625808369176870993300099 2.620011598697772559063424 
0.008000 -50.000 2.718717746978507765476252 2.565264332193803120674147 2.525975128722739437847622 2.747379576475529994183944 2.525170022192229968283073 2.704225812711441356839259 2.596985540240405843093185 2.620816705696276560644264 2.650927710338128573397398 
0.009000 -50.000 2.717429574989528084927315 2.548196070515653222088304 2.530483725366089675645753 2.745930382722981732968037 2.533865172929401943235916 2.709056457318714805637683 2.604875587873867193167143 2.624359176537521598504554 2.643520724714474745553616 
0.010000 -50.000 2.718234682481401431886070 2.542882366770683688628196 2.547874027859553081043487 2.747862641062709609940384 2.501338870660981594795658 2.709861564767678476783885 2.610833379199024584238487 2.654470181844716947239249 2.591993877650287547709240 
0.011000 -50.000 2.718073660982696093668665 2.532254959795372517561418 2.539822961662056677312194 2.749311834833241263709169 2.465270107259354137596574 2.706963177970693301688243 2.590866728054416423532302 2.643037660446584613538334 2.559950627895842600878495 
0.012000 -50.000 2.717429574989528084927315 2.525653086110065448366413 2.541916238835499441961474 2.748989791771957236221624 2.449812068174946233511946 2.705352963106546049232293 2.589578557097288680211022 2.618562406110604978692891 2.559467563877309004283234 
