time GYR_X_865 Q_X_865 Q_Y_871 GYR_Y_871 Q_Z_925 GYR_Z_925 UPP_X_865 UPP_Y_871 UPP_Z_925 
sec V V V V V V V V V 
# ai0 ai1 ai2 ai3 ai4 ai5 ai6 ai7 ai8 
0.000000 2.479284847895097954051380 2.543210392232246430666009 2.528074366898176439377721 2.479928933860984230364011 2.479445869386335932205156 2.479928933860984230364011 2.614059891250064993073465 2.631289205949816967233801 2.608424134507789649006781 
0.010000 2.478640761931703018206008 2.545947758665529025989827 2.526142108445450951137445 2.472521945403618470749052 2.482666299243806662389034 2.477996675970798534649475 2.615026020997205158380439 2.630806141026373001778893 2.610517415560374310246061 
0.020000 2.479284847895097954051380 2.539989961192945955303912 2.537896681051392100414432 2.474293181743916214543333 2.499090492487927583908913 2.475742375127243821708589 2.614703977747510954543486 2.630484097744889560033243 2.604559615713192943786680 
0.030000 2.476064418103027353623702 2.542566306019313326913789 2.532099905414404439341070 2.473488074314176277113120 2.478157697460791286658832 2.478479740441243528437099 2.615831129124271736685614 2.634026573876978360999601 2.606974939948917047161103 
0.040000 2.480411998337034518158362 2.552710664168017729025451 2.518735117920435584437655 2.476225439591152710505639 2.484920600181128147454501 2.477674632991280656568733 2.616153172376232127760431 2.627263664965804768058888 2.608585156126249859909194 
0.050000 2.476869525545208894357074 2.551744534793356944391007 2.522760656207861273969684 2.478318718950939469891637 2.479767912369279070361472 2.473649095799813846241477 2.612932739885763577802891 2.629356946264817196379227 2.604076550870405792892370 
0.060000 2.478962804913089179592589 2.551744534793356944391007 2.519379204039806197101825 2.472682966888323008447514 2.488141030144620735597982 2.476547482567869273850647 2.616797258882094912024741 2.631128184308506590127763 2.607135961565923309990467 
0.070000 2.477191568523170683846502 2.537896681051392100414432 2.529684582292818006976631 2.472521945403618470749052 2.496514148342086514276161 2.476064418103027353623702 2.610678437180935507200275 2.628229794792707352257821 2.603754507642687787694058 
0.080000 2.476386461079433498611024 2.551583513231470146109814 2.536286465576101267771492 2.476064418103027353623702 2.488463073144403736591812 2.472682966888323008447514 2.619695648190544012834380 2.634670660454907498149169 2.607619026417911989312870 
0.090000 2.477191568523170683846502 2.548685125144682483977476 2.531777862329471773250589 2.474293181743916214543333 2.497480277392080338927371 2.478801783422318383287575 2.611161502043588100718807 2.626780600054546610522266 2.600695097011544554277407 
0.100000 2.482827320738316245751776 2.536286465576101267771492 2.519379204039806197101825 2.474615224716900208079551 2.485564686168833858914695 2.477835654480962102041985 2.616314194002455018051023 2.635314747035440330336087 2.612288653395435922277557 
