time rate GYR_0_979 Q_0_979 UPP_0_979 
sec deg/sec V V V 
# table ai0 ai3 ai5 
0.000000 -150.000 3.4403540631764633 2.5481341583576569 2.6790442813419952 
0.010000 -150.000 3.4413201949070720 2.5402441296316520 2.6532809032928126 
0.020000 -150.000 3.4419642827313042 2.5354134999814391 2.5681007633168629 
0.030000 -150.000 3.4408371290409066 2.5275234718495247 2.6495774180320533 
0.040000 -150.000 3.4411591729514921 2.5225318215885424 2.6445857641173030 
0.050000 -150.000 3.4418032607749587 2.5339643111133001 2.6481282281701870 
0.060000 -150.000 3.4414812168628424 2.5391169827009130 2.6510266079067297 
0.070000 -150.000 3.4414812168628424 2.5341253320980357 2.6526368188936233 
0.080000 -150.000 3.4427693925158991 2.5329981852081067 2.6529588610929018 
0.090000 -150.000 3.4409981509961036 2.5252691781650749 2.6531198821927777 
0.100000 -150.000 3.4397099753598837 2.5247861152365938 2.6516706922995885 
0.110000 -150.000 3.4421253046878402 2.5138366892264914 2.6497384391286065 
0.120000 -150.000 3.4424473486014868 2.5247861152365938 2.6498994602253187 
0.130000 -150.000 3.4397099753598837 2.5363796259004334 2.6468400594148340 
0.140000 -150.000 3.4419642827313042 2.5437865914629749 2.6495774180320533 
0.150000 -150.000 3.4426083705585975 2.5357355419538239 2.6542470298963452 
0.160000 -150.000 3.4411591729514921 2.5212436538031060 2.6531198821927777 
0.170000 -150.000 3.4418032607749587 2.5154468988895933 2.6531198821927777 
0.180000 -150.000 3.4430914364310770 2.5346083950531622 2.6529588610929018 
0.190000 -150.000 3.4424473486014868 2.5275234718495247 2.6534419243930056 
0.200000 -150.000 3.4422863266445680 2.5384728987438683 2.6542470298963452 
0.210000 -150.000 3.4424473486014868 2.5378288147892798 2.6537639665938668 
0.220000 -150.000 3.4426083705585975 2.5447527174298821 2.6519927344969672 
0.230000 -150.000 3.4429304144733925 2.5363796259004334 2.6500604813221886 
0.240000 -150.000 3.4438965462223714 2.5397610666604136 2.6507045657112500 
0.250000 -150.000 3.4432524583889532 2.5347694160385106 2.6529588610929018 
0.260000 -150.000 3.4416422388188050 2.5379898357776969 2.6513486501028427 
0.270000 -150.000 3.4421253046878402 2.5367016678746586 2.6537639665938668 
0.280000 -150.000 3.4432524583889532 2.5379898357776969 2.6568233675336401 
0.290000 -150.000 3.4424473486014868 2.5344473740679665 2.6531198821927777 
0.300000 -150.000 3.4429304144733925 2.5315489963606619 2.6532809032928126 
0.310000 -150.000 3.4427693925158991 2.5317100173430984 2.6524757977942217 
0.320000 -150.000 3.4400320192677909 2.5251081571887615 2.6550521354036438 
